symbol,side,entry_date,exit_date,entry_z,exit_z,beta,corr,hold_bars,pair_ret,exit_reason
BHARTIARTL,SHORT_PAIR,2024-01-09,2024-01-23,2.120012821911384,4.175718947675637,0.03793084725760174,0.8903815302927696,9,-0.08837353605157396,stop
BHARTIARTL,SHORT_PAIR,2024-01-24,2024-02-14,4.031808492278812,0.49074458410638555,0.04842734666041709,0.7981452947541443,14,0.06314298107816749,mean_revert
BHARTIARTL,SHORT_PAIR,2024-08-28,2024-09-25,2.845843519848015,1.0888038498569703,0.05619105427854556,0.8615558205596038,20,-0.12897330858025866,time
BHARTIARTL,SHORT_PAIR,2024-10-03,2024-10-31,2.207524476362725,1.0078909044700848,0.17127330610247424,0.9387269007803322,20,0.029275441668678924,time
BHARTIARTL,LONG_PAIR,2025-05-16,2025-05-28,-2.3369109194904274,-0.19307016598976562,0.10201611204314202,0.901068315161821,8,0.024298484967461544,mean_revert
BHARTIARTL,SHORT_PAIR,2025-06-25,2025-07-10,2.098266113008835,0.40487865660714756,0.06009345126878891,0.7968504883086565,11,0.0008227001174101456,mean_revert
BHARTIARTL,SHORT_PAIR,2025-08-05,2025-08-11,2.3873536055851794,0.39029810678280846,0.17167637828629692,0.7677046401033436,4,0.03806410485250029,mean_revert
BHARTIARTL,SHORT_PAIR,2025-10-20,2025-10-23,2.366114598516637,-0.28575025944066856,0.09392116461728708,0.8335350416949445,2,0.02142809629724144,mean_revert
BHARTIARTL,SHORT_PAIR,2025-10-27,2025-11-04,2.3321882116595787,3.935479773646927,0.10687656186812088,0.8944790292387629,6,-0.0174771065197697,stop
BHARTIARTL,SHORT_PAIR,2025-11-06,2025-11-07,3.331883052111764,0.12292529111176613,0.1402412665112901,0.912579135749989,1,0.044632015187338295,mean_revert
BHARTIARTL,SHORT_PAIR,2025-11-18,2025-11-26,2.5393999595517798,-0.3368806356292316,0.15241208865352507,0.9160528778811342,6,0.012159241655010856,mean_revert
BHARTIARTL,LONG_PAIR,2026-02-03,2026-02-06,-2.0036306835512283,-0.34879413983602225,0.14806749849003412,0.8576392793059934,3,0.020772570017065985,mean_revert
BHARTIARTL,LONG_PAIR,2026-02-10,2026-02-13,-2.280596685535473,-0.17626752281205532,0.14763680010132585,0.8325549780021342,3,-0.000639882063208988,mean_revert
BHARTIARTL,LONG_PAIR,2026-02-24,2026-03-04,-2.0241614141356195,1.7728460138085729,0.14142351381772114,0.859159676945804,5,-0.012831639858849607,mean_revert
BHARTIARTL,SHORT_PAIR,2026-03-13,2026-04-01,2.097005224550096,0.3538466168642709,0.11644299969706233,0.9098762234800333,11,0.009549425951722453,mean_revert
BHARTIARTL,LONG_PAIR,2026-04-22,2026-04-29,-2.017952858288186,0.3804328821175926,0.07024368776893526,0.9187140160233825,5,0.03289033061608955,mean_revert
BHARTIARTL,LONG_PAIR,2026-05-11,2026-05-14,-2.3573516859156673,1.3870900249155174,0.06659883978254853,0.8794796756236635,3,0.07064507572233675,mean_revert
BHARTIARTL,SHORT_PAIR,2026-05-18,2026-05-26,2.7070041897893566,-0.04987766726626381,0.05858652893192969,0.8026573416232284,6,0.04770978550697822,mean_revert
ICICIBANK,SHORT_PAIR,2022-01-20,2022-01-24,2.276895042075368,3.6831002959716783,0.06871581009130169,0.9080149011630041,2,0.012210863929138623,stop
