date,event,pair,side,ret,pnl,equity,dd
2022-08-08,open,ICICI_SBI,SHORT_Y,-0.01878889877795681,0.0,423923.9199706181,-0.006212920380292086
2022-08-10,close,ICICI_SBI,SHORT_Y,-0.01878889877795681,-1991.2659054706514,421932.65406514745,-0.010880961591746119
2022-08-11,open,ICICI_SBI,SHORT_Y,-0.01108497970505204,0.0,421932.65406514745,-0.010880961591746119
2022-08-17,open,RELIANCE_ONGC,SHORT_Y,0.017779227721242213,0.0,421932.65406514745,-0.010880961591746119
2022-08-26,close,ICICI_SBI,SHORT_Y,-0.01108497970505204,-1169.2787268027255,420763.3753383447,-0.013622052708405108
2022-09-01,close,RELIANCE_ONGC,SHORT_Y,0.017779227721242213,1875.4091849130928,422638.7845232578,-0.009225609551586023
2022-09-14,open,Nifty_BankNifty,SHORT_Y,-0.00831393416762341,0.0,422638.7845232578,-0.009225609551586023
2022-09-15,open,Nifty_FinNifty,SHORT_Y,0.017148171803232803,0.0,422638.7845232578,-0.009225609551586023
2022-09-16,close,Nifty_BankNifty,SHORT_Y,-0.00831393416762341,-878.4477578026853,421760.33676545514,-0.011284917815874818
2022-09-16,open,MARUTI_MM,SHORT_Y,0.020728986560347218,0.0,421760.33676545514,-0.011284917815874818
2022-09-19,open,Nifty_BankNifty,SHORT_Y,0.021432528383082905,0.0,421760.33676545514,-0.011284917815874818
2022-09-29,close,Nifty_FinNifty,SHORT_Y,0.017148171803232803,1811.8706219285784,423572.20738738374,-0.007037425449461621
2022-09-26,close,MARUTI_MM,SHORT_Y,0.020728986560347218,2185.666088124659,425757.8734755084,-0.0019136600368097056
2022-09-29,open,RELIANCE_ONGC,LONG_Y,-0.019794149697075547,0.0,425757.8734755084,-0.0019136600368097056
2022-10-03,close,Nifty_BankNifty,SHORT_Y,0.021432528383082905,2259.8475971460553,428017.7210726545,0.0
2022-10-03,close,RELIANCE_ONGC,LONG_Y,-0.019794149697075547,-2106.878770570691,425910.8423020838,-0.004922410140614342
