side,hold,ret,reason,entry_z,symbol
LONG,3,-0.06260362001782793,stop,-3.8346142177531153,HDFCBANK
LONG,1,-0.010700770124412836,stop,-5.1022119626561535,HDFCBANK
LONG,4,0.011419604405114688,time,-4.102367849198755,HDFCBANK
SHORT,2,-0.04967402942308174,cut_wrong,2.0566117937242705,HDFCBANK
SHORT,2,-0.004797661014654131,cut_wrong,2.3555576313295505,HDFCBANK
SHORT,2,0.009698275112597946,mean_revert,2.234512629797289,HDFCBANK
LONG,2,-0.007306617271249709,cut_wrong,-2.535613540544635,HDFCBANK
LONG,2,-0.0024843922995339118,cut_wrong,-2.1808604512999428,HDFCBANK
LONG,2,-0.004926229826582807,cut_wrong,-2.2285154537562564,HDFCBANK
SHORT,2,-0.004586378420838592,cut_wrong,3.001376634480701,HDFCBANK
SHORT,2,-0.005806298477841058,cut_wrong,2.2445038985559567,HDFCBANK
SHORT,2,-0.0014705836184032619,cut_wrong,2.0219184169479454,HDFCBANK
SHORT,4,0.013824053329439983,time,2.0849248486218945,HDFCBANK
SHORT,2,-0.011662788545766693,cut_wrong,2.3026004185436673,HDFCBANK
SHORT,2,-0.0003952893105270759,cut_wrong,2.5331833255779665,HDFCBANK
SHORT,4,0.014454161612119553,time,3.0198670470478155,HDFCBANK
LONG,4,0.01744210165643301,time,-2.015290434510828,HDFCBANK
LONG,2,-0.01108860532103622,cut_wrong,-2.0917946085281742,HDFCBANK
LONG,4,0.004417966858949331,time,-2.246771710717826,HDFCBANK
LONG,2,-0.01263423453465387,cut_wrong,-2.2010209365802798,HDFCBANK
LONG,3,-0.013501621339797506,cut_wrong,-2.7220390228976723,HDFCBANK
LONG,3,-0.008258552817180242,cut_wrong,-2.1517446261420594,HDFCBANK
SHORT,4,-0.0021591080445556078,cut_wrong,2.211680038038246,HDFCBANK
SHORT,4,0.005381321307944399,time,2.3531523800265086,HDFCBANK
LONG,4,0.010491517532758269,time,-2.213715442096259,HDFCBANK
SHORT,2,-0.02264335414602267,cut_wrong,2.8006331748112694,BHARTIARTL
SHORT,4,0.028246207649912227,time,2.09993184101934,BHARTIARTL
SHORT,2,-0.017551579550971117,cut_wrong,2.1698016744332116,BHARTIARTL
SHORT,4,0.03568637098949603,time,2.1063203342300403,BHARTIARTL
LONG,3,0.013429995111775853,mean_revert,-2.323086738490328,BHARTIARTL
LONG,2,-0.025155957497259785,cut_wrong,-2.2328407377559456,BHARTIARTL
LONG,4,0.043578989742652986,time,-2.269397163325191,BHARTIARTL
SHORT,2,-0.004686360940141743,cut_wrong,2.064620593167322,BHARTIARTL
SHORT,2,-0.01098946985289076,cut_wrong,2.452745554338111,BHARTIARTL
SHORT,2,-0.001466855201459345,cut_wrong,2.081372656181117,BHARTIARTL
